key	en	am	om	ti	so	sw	note
ui_note_placeholder	Write an internal note — the customer never sees this	የውስጥ ማስታወሻ ይጻፉ — ደንበኛው ፈጽሞ አያየውም	Yaadannoo keessoo barreessaa — maamilli gonkumaa hin argu	ውሽጣዊ መዘክር ጽሓፉ — ዓሚል ፈጺሙ ኣይርእዮን	Qor qoraal gudaha ah — macmiilku waligiis ma arko	Andika dokezo la ndani — mteja haoni hili kamwe	Placeholder in the composer while in internal-note mode. The reassurance matters — an agent must never wonder whether the customer saw it.
ui_note_badge	Internal note	የውስጥ ማስታወሻ	Yaadannoo keessoo	ውሽጣዊ መዘክር	Qoraal gudaha ah	Dokezo la ndani	Label on an internal note in the conversation timeline.
ui_interaction_history	Interaction history	ያለፈ ግንኙነት	Seenaa walqunnamtii	ናይ ቀደም ርክብ	Taariikhda xiriirka	Historia ya mawasiliano	Right rail heading: this customer's earlier tickets.
ui_no_history	First time this customer has contacted you.	ደንበኛው ሲያገኝዎት የመጀመሪያው ነው።	Maamilli kun yeroo jalqabaaf isin qunnameera.	እዚ ዓሚል ንመጀመርታ ግዜ እዩ ረኺቡኩም።	Markii ugu horreysay ee macmiilkani kula soo xiriiro.	Ni mara ya kwanza mteja huyu kuwasiliana nawe.	Shown when the customer has no earlier tickets.
ui_back_to_list	Back to list	ወደ ዝርዝሩ ተመለስ	Gara tarreetti deebi'i	ናብ ዝርዝር ተመለስ	Ku noqo liiska	Rudi kwenye orodha	Link from an open ticket back to the ticket table.
ui_properties	Properties	ባህሪያት	Amaloota	ባህርያት	Sifooyin	Sifa	Left panel heading on a ticket: its editable fields.
ui_take_it	Take it	እኔ እወስዳለሁ	Ani nan fudhadha	ኣነ ክወስዶ	Aan qaato	Nichukue	Button that assigns the ticket to the signed-in agent (Zendesk calls this 'take it').
ui_note_sent	Note added	ማስታወሻ ታክሏል	Yaadannoon dabalameera	መዘክር ተወሲኹ	Qoraalka waa lagu daray	Dokezo limeongezwa	Confirmation after an internal note is recorded.
ui_nav_settings	Settings	ቅንብሮች	Qindaa'ina	ቅንብራት	Dejinta	Mipangilio	Sidebar item: workspace configuration (admins/supervisors).
ui_tab_sla	SLA & hours	SLA እና ሰዓታት	SLA fi sa'aatii	SLA ከምኡውን ሰዓታት	SLA & saacadaha	SLA na saa	Settings tab: SLA targets and the working-hours calendar.
ui_tab_team	Team	ቡድን	Garee	ጋንታ	Kooxda	Timu	Settings tab: the people who work this desk.
ui_tab_queues	Queues	ወረፋዎች	Toorawwan	መስርዓት	Safafka	Foleni	Settings tab: named work buckets tickets are routed into.
ui_first_response	First response	የመጀመሪያ ምላሽ	Deebii jalqabaa	ናይ መጀመርታ መልሲ	Jawaabta koowaad	Jibu la kwanza	SLA field: how long until the customer must hear from a person.
ui_resolution	Resolution	መፍትሄ	Furmaata	ፍታሕ	Xallinta	Utatuzi	SLA field: how long until the ticket must be finished.
ui_minutes	minutes	ደቂቃዎች	daqiiqaa	ደቓይቕ	daqiiqo	dakika	Unit after a number of minutes in the SLA form.
ui_business_hours	Business hours	የሥራ ሰዓታት	Sa'aatii hojii	ናይ ስራሕ ሰዓታት	Saacadaha shaqada	Saa za kazi	Settings heading: when the SLA clock runs.
ui_workdays	Working days	የሥራ ቀናት	Guyyoota hojii	መዓልታት ስራሕ	Maalmaha shaqada	Siku za kazi	Settings field: which days of the week the desk works.
ui_day_start	Opens	የሚከፈትበት	Yeroo banamu	ዝኽፈተሉ	Waa la furaa	Hufunguliwa	Settings field: the time the working day starts.
ui_day_end	Closes	የሚዘጋበት	Yeroo cufamu	ዝዕጸወሉ	Waa la xiraa	Hufungwa	Settings field: the time the working day ends.
ui_always_open	Open 24/7 (the clock never pauses)	24/7 ክፍት (ሰዓቱ አያቆምም)	24/7 banaa (sa'aatiin hin dhaabbatu)	24/7 ክፉት (እቲ ሰዓት ኣይቕመጥን)	Furan 24/7 (saacaddu ma joogsato)	Wazi 24/7 (saa haisimami)	Checkbox: run SLA clocks around the clock, ignoring working hours.
ui_save	Save	አስቀምጥ	Olkaa'i	ኣቐምጥ	Kaydi	Hifadhi	Save button in settings forms.
ui_saving	Saving…	በማስቀመጥ ላይ…	Olkaa'aa jira…	የቐምጥ ኣሎ…	Waa la kaydinayaa…	Inahifadhi…	Save button while the request is in flight.
ui_saved	Saved	ተቀምጧል	Olkaa'ameera	ተቐሚጡ	Waa la kaydiyay	Imehifadhiwa	Confirmation after settings are stored.
ui_save_failed	Could not save: {error}	ማስቀመጥ አልተቻለም: {error}	Olkaa'uun hin danda'amne: {error}	ምቕማጥ ኣይተኻእለን: {error}	Lama kaydin karin: {error}	Imeshindwa kuhifadhi: {error}	Error when settings could not be stored. {error} is the reason.
ui_invite_teammate	Add a teammate	የቡድን አባል ጨምር	Miseensa garee dabali	ኣባል ጋንታ ወስኽ	Ku dar xubin kooxda	Ongeza mwanatimu	Heading of the add-a-teammate form.
ui_role	Role	ሚና	Gahee	ተራ	Doorka	Jukumu	Form label: which role the teammate gets.
ui_role_agent	Agent	ወኪል	Hojjetaa	ወኪል	Wakiil	Wakala	Role: works tickets.
ui_role_supervisor	Supervisor	ተቆጣጣሪ	To'ataa	ተቖጻጻሪ	Kormeere	Msimamizi	Role: works tickets and sees the wallboard.
ui_role_admin	Admin	አስተዳዳሪ	Bulchaa	ኣመሓዳሪ	Maamule	Msimamizi mkuu	Role: full control including settings and billing.
ui_role_auditor	Auditor (read-only)	ኦዲተር (ንባብ ብቻ)	Odiitara (dubbisuu qofa)	ኦዲተር (ንባብ ጥራይ)	Hanti-dhawr (akhris kaliya)	Mkaguzi (kusoma tu)	Role: can read everything and change nothing.
ui_invite	Add	ጨምር	Dabali	ወስኽ	Ku dar	Ongeza	Button that creates the teammate's account.
ui_temp_password	Give {name} this one-time password — it is not shown again: {password}	ለ{name} ይህን የአንድ ጊዜ የይለፍ ቃል ይስጡ — ዳግም አይታይም፦ {password}	{name}f jecha darbii yeroo tokkoo kana kennaa — lammata hin mul'atu: {password}	ንኣቶ/ወይዘሮ {name} እዚ ናይ ሓደ ግዜ መሕለፊ ቃል ሃብዎም — ደጊሙ ኣይረአን፦ {password}	{name} sii erayga sirta ah ee hal mar — mar dambe lama tusi doono: {password}	Mpe {name} nenosiri hili la mara moja — halitaonyeshwa tena: {password}	Shown once after adding a teammate. {name} is their name, {password} the one-time password. The warning that it is not shown again is the important part.
ui_deactivate	Deactivate	አቦዝን	Dhaabi	ኣቋርጽ	Jooji	Zima	Button that disables a teammate's sign-in.
ui_reactivate	Reactivate	አግብር	Deebisi	ዳግም ኣንቅሕ	Dib u shid	Washa tena	Button that restores a disabled teammate.
ui_disabled	Deactivated	ተቦዝኗል	Dhaabameera	ተቋሪጹ	La joojiyay	Imezimwa	Badge on a deactivated teammate.
ui_delete	Delete	ሰርዝ	Haqi	ሰርዝ	Tirtir	Futa	Button that removes a queue.
ui_mon	Mon	ሰኞ	Wix	ሰኑ	Isn	Jtt	Weekday abbreviation: Monday.
ui_tue	Tue	ማክሰ	Kib	ሰሉ	Tal	Jnn	Weekday abbreviation: Tuesday.
ui_wed	Wed	ረቡዕ	Rob	ረቡ	Arb	Jtn	Weekday abbreviation: Wednesday.
ui_thu	Thu	ሐሙስ	Kam	ሓሙ	Kha	Alh	Weekday abbreviation: Thursday.
ui_fri	Fri	ዓርብ	Jim	ዓር	Jim	Iju	Weekday abbreviation: Friday.
ui_sat	Sat	ቅዳሜ	San	ቀዳ	Sab	Jmo	Weekday abbreviation: Saturday.
ui_sun	Sun	እሁድ	Dil	ሰን	Axa	Jpi	Weekday abbreviation: Sunday.
ui_nav_macros	Macros	ማክሮዎች	Maakroowwan	ማክሮታት	Makrooyada	Makro	Sidebar item: the workspace's saved replies.
ui_macros_title	Macros	ማክሮዎች	Maakroowwan	ማክሮታት	Makrooyada	Makro	Heading of the Macros page. A macro is a saved reply an agent applies with one click.
ui_macros_subtitle	Saved replies your team sends with one click. Each one is written in every language you support, and a customer always gets theirs.	ቡድንዎ በአንድ ጠቅታ የሚልካቸው የተቀመጡ ምላሾች። እያንዳንዱ በሚያገለግሉት ቋንቋ ሁሉ ተጽፏል፤ ደንበኛውም ሁሌም የራሱን ያገኛል።	Deebiiwwan olkaa'aman gareen keessan tuqaa tokkoon ergu. Tokkoon tokkoon isaanii afaan isin tajaajiltan hundaan barreeffameera; maamilis yeroo hunda kan isaa argata.	ጋንታኹም ብሓደ ጠውቖ ዝሰዱዎ ዝተዓቀቡ መልስታት። ነፍሲ ወከፎም ብዘገልግሉሉ ኵሉ ቋንቋ ተጻሒፎም፡ ዓሚል ድማ ወትሩ ናቱ ይረክብ።	Jawaabo la kaydiyay oo kooxdaadu hal guji ku dirto. Mid walba waxaa lagu qoray luqad kasta oo aad adeegto, macmiilkuna had iyo jeer kiisa buu helaa.	Majibu yaliyohifadhiwa ambayo timu yako hutuma kwa mbofyo mmoja. Kila moja limeandikwa katika kila lugha unayohudumia, na mteja hupata lake kila wakati.	Line under the Macros heading. The promise that matters is the second half: a macro is written per language and the customer always receives their own.
ui_macro_new	New macro	አዲስ ማክሮ	Maakroo haaraa	ሓድሽ ማክሮ	Makro cusub	Makro mpya	Button that opens the blank macro editor.
ui_macro_title_label	What this macro is for	ይህ ማክሮ ለምን እንደሆነ	Maakroon kun maaliif akka ta'e	እዚ ማክሮ እንታይ ከም ዝኸውን	Waxa makradan loogu talagalay	Makro hii ni ya nini	Form label: the macro's name, which is what agents search by. Phrased as a purpose ('Ask for more detail'), not a code.
ui_macro_category	Group	ቡድን	Garee	ጕጅለ	Koox	Kikundi	Form label: an optional grouping name, so a long macro list stays navigable.
ui_macro_then_set	After sending, set the ticket to	ከተላከ በኋላ ቲኬቱን አድርግ	Erga ergamee booda tikeetii godhi	ድሕሪ ምስዳድ ትኬት ግበሮ	Ka dib markii la diro, tikidhka u beddel	Baada ya kutuma, weka tikiti kuwa	Form label: the ticket status applied AFTER the agent sends the reply. Not when the macro is inserted.
ui_macro_no_status	Leave the status alone	ሁኔታውን አትንካ	Haala isaa hin tuqin	ንዅነታቱ ኣይትተንክፎ	Xaaladda ha taabanin	Acha hali kama ilivyo	Option meaning the macro changes no status.
ui_macro_bodies	What it says, per language	በያንዳንዱ ቋንቋ የሚለው	Afaan tokkoon tokkoon isaatiin waan jedhu	ኣብ ነፍሲ ወከፍ ቋንቋ ዝብሎ	Waxa ay ku tidhaahdo, luqad kasta	Inasema nini, kwa kila lugha	Heading of the per-language body editors.
ui_macro_placeholders	Insert	አስገባ	Galchi	ኣእቱ	Geli	Ingiza	Button that inserts a placeholder into the body being edited.
ui_macro_placeholder_hint	These are replaced with the real values when the macro is used.	ማክሮው ጥቅም ላይ ሲውል በእውነተኛ እሴቶች ይተካሉ።	Yeroo maakroon fayyadamu gatii dhugaatiin bakka bu'u.	እቲ ማክሮ ኣብ ጥቕሚ ክውዕል ከሎ ብናይ ብሓቂ ዋጋታት ይትካእ።	Kuwan waxaa lagu beddelaa qiimayaasha dhabta ah marka makrada la isticmaalo.	Hizi hubadilishwa na thamani halisi wakati makro inatumika.	Help text under the insert buttons.
ui_macro_saved	Macro saved	ማክሮ ተቀምጧል	Maakroon olkaa'ameera	ማክሮ ተዓቂቡ	Makrada waa la kaydiyay	Makro imehifadhiwa	Confirmation after a macro is stored.
ui_macro_delete	Delete	ሰርዝ	Haqi	ደምስስ	Tirtir	Futa	Button that removes a macro permanently.
ui_macro_retire	Retire	አግልል	Sochoosi	ኣወግድ	Ka joogso	Ondoa	Button that hides a macro from agents without deleting what was already sent under it.
ui_macro_restore	Bring back	መልስ	Deebisi	መልሶ	Soo celi	Rudisha	Button that returns a retired macro to the agents' list.
ui_macro_retired	Retired	የተገለለ	Kan sochoofame	ዝተኣለየ	La joojiyay	Imeondolewa	Badge on a macro that is hidden from agents.
ui_macro_used	Used {n}×	{n}× ጥቅም ላይ ውሏል	{n}× fayyadameera	{n}× ተጠቒሙ	La isticmaalay {n}×	Imetumika mara {n}	How many times a macro has been applied. {n} is a number; the multiplication sign is used as 'times'.
ui_macro_never_used	Never used	ጭራሽ አልዋለም	Gonkumaa hin fayyadamne	ፈጺሙ ኣይተጠቕመን	Waligeed lama isticmaalin	Haijawahi kutumika	Shown instead of a count when a macro has never been applied.
ui_macro_none	No macros yet. Write the reply your team types most often, once.	እስካሁን ማክሮ የለም። ቡድንዎ በጣም የሚደጋግመውን ምላሽ አንድ ጊዜ ይጻፉት።	Amma maakroon hin jiru. Deebii gareen keessan yeroo baay'ee barreessu, al tokko barreessaa.	ክሳብ ሕጂ ማክሮ የለን። እቲ ጋንታኹም ብዙሕ ግዜ ዝጽሕፎ መልሲ ሓንሳብ ጽሓፍዎ።	Weli makro ma jirto. Jawaabta kooxdaadu ugu badan qorto, hal mar qor.	Bado hakuna makro. Andika jibu ambalo timu yako huandika mara nyingi zaidi, mara moja.	Empty state of the Macros page. It says what to do, not that something is missing.
ui_macro_apply	Macros	ማክሮዎች	Maakroowwan	ማክሮታት	Makrooyada	Makro	Button in the reply composer that opens the macro picker.
ui_macro_search	Find a macro	ማክሮ ፈልግ	Maakroo barbaadi	ማክሮ ድለ	Makro raadi	Tafuta makro	Placeholder of the macro picker's search box.
ui_macro_inserted_in	Inserted in {lang}	በ{lang} ገብቷል	{lang}n galcheera	ብ{lang} ኣትዩ	Lagu geliyay {lang}	Imeingizwa kwa {lang}	Confirmation after a macro fills the composer. {lang} is a language name in its own script.
ui_macro_fallback_warning	This macro has no {want} text, so {got} was inserted. The customer writes in {want}.	ይህ ማክሮ የ{want} ጽሑፍ የለውም፤ ስለዚህ {got} ገብቷል። ደንበኛው በ{want} ይጽፋል።	Maakroon kun barruu {want} hin qabu, kanaafuu {got} galcheera. Maamilichi {want}n barreessa.	እዚ ማክሮ ናይ {want} ጽሑፍ የብሉን፡ ስለዚ {got} ኣትዩ። እቲ ዓሚል ብ{want} እዩ ዝጽሕፍ።	Makradan ma laha qoraal {want} ah, sidaas darteed {got} ayaa la geliyay. Macmiilku wuxuu ku qoraa {want}.	Makro hii haina maandishi ya {want}, kwa hivyo {got} imeingizwa. Mteja anaandika kwa {want}.	Warning when the macro had no body in the customer's language. {want} is the customer's language, {got} the one used. The agent must see this BEFORE sending, which is why it names the customer's language twice.
ui_macro_load_failed	Could not load macros. {error}	ማክሮዎችን መጫን አልተቻለም። {error}	Maakroowwan fe'uu hin dandeenye. {error}	ማክሮታት ክጽዓኑ ኣይከኣሉን። {error}	Makrooyada lama soo rari karin. {error}	Imeshindwa kupakia makro. {error}	Error when the macro list could not be fetched. {error} is the reason.
ui_macro_edit	Edit	አርትዕ	Gulaali	ኣርትዕ	Wax ka beddel	Hariri	Button that opens an existing macro in the editor.
ui_macro_cancel	Cancel	ተወው	Dhiisi	ሰርዝ	Jooji	Ghairi	Button that closes the macro editor without saving.
ui_setup_title	Finish setting up	ማዋቀርዎን ይጨርሱ	Qindeessuu keessan xumuraa	ምድላውኩም ወድኡ	Dhammee dejinta	Kamilisha usanidi	Heading of the setup checklist on the dashboard. Encouraging, not a warning — nothing is wrong.
ui_setup_progress	{done} of {total} done	ከ{total} {done} ተጠናቅቋል	{total} keessaa {done} xumurameera	ካብ {total} {done} ተወዲኡ	{done} ka mid ah {total} ayaa dhammaaday	{done} kati ya {total} zimekamilika	Progress line. {done} and {total} are numbers.
ui_setup_done_all	Your desk is set up. Nice work.	ዴስክዎ ተዘጋጅቷል። መልካም ስራ።	Deeskiin keessan qophaa'eera. Hojii gaarii.	ዴስክኩም ተዳልዩ ኣሎ። ጽቡቕ ስራሕ።	Miiskaagu wuu diyaar yahay. Shaqo wanaagsan.	Dawati lako liko tayari. Kazi nzuri.	Shown when every setup step is complete, just before the card goes away for good.
ui_setup_dismiss	Hide this	ይህን ደብቅ	Kana dhoksi	ነዚ ሕብኦ	Qari kan	Ficha hii	Button that hides the setup checklist permanently (admins only).
ui_step_connect_channel	Connect a channel	ቻናል ያገናኙ	Chaanaalii walqunnamsiisaa	ቻነል ኣራኽቡ	Ku xidh kanaal	Unganisha kituo	Setup step: connect a messaging channel. Telegram/Viber/WhatsApp/SMS are product names — keep them.
ui_step_connect_channel_why	Telegram, Viber, WhatsApp or SMS — wherever your customers already write to you.	ቴሌግራም፣ ቫይበር፣ ዋትስአፕ ወይም ኤስኤምኤስ — ደንበኞችዎ አስቀድመው በሚጽፉልዎ ቦታ።	Telegram, Viber, WhatsApp yookaan SMS — bakka maamiltoonni keessan duraanuu isinii barreessanitti.	ቴለግራም፡ ቫይበር፡ ዋትስኣፕ ወይ ኤስኤምኤስ — ዓማዊልኩም ድሮ ኣብ ዝጽሕፉልኩም ቦታ።	Telegram, Viber, WhatsApp ama SMS — meel kasta oo macaamiishaadu horeba kuugu qoraan.	Telegram, Viber, WhatsApp au SMS — popote wateja wako tayari wanapokuandikia.	One line saying why that step matters.
ui_step_first_ticket	Receive your first ticket	የመጀመሪያ ቲኬትዎን ይቀበሉ	Tikeetii jalqabaa keessan fudhadhaa	ቀዳማይ ትኬትኩም ተቐበሉ	Hel tikidhkaaga ugu horreeya	Pokea tikiti yako ya kwanza	Setup step: the first customer message arrives and becomes a ticket.
ui_step_first_ticket_why	Send yourself a message on a connected channel to see the whole path work.	ሙሉውን መንገድ ሲሰራ ለማየት በተገናኘ ቻናል ለራስዎ መልእክት ይላኩ።	Karaan guutuun akka hojjetu arguuf, chaanaalii walqunnamsiifame irratti ofii keessaniif ergaa ergaa.	እቲ ምሉእ መስመር ክሰርሕ ንምርኣይ፡ ብዝተራኸበ ቻነል ንነብስኹም መልእኽቲ ስደዱ።	Naftaada fariin ugu dir kanaal ku xidhan si aad u aragto habka oo dhan oo shaqeynaya.	Jitumie ujumbe kwenye kituo kilichounganishwa ili uone njia nzima ikifanya kazi.	One line saying why that step matters.
ui_step_invite_team	Invite your team	ቡድንዎን ይጋብዙ	Garee keessan afeeraa	ጋንታኹም ዓድሙ	Casuun kooxdaada	Alika timu yako	Setup step: add teammates to the workspace.
ui_step_invite_team_why	Tickets can be assigned once there is somebody to assign them to.	የሚመደብላቸው ሰው ሲኖር ቲኬቶች ሊመደቡ ይችላሉ።	Namni itti kennamu yeroo jiraatu tikeetiiwwan kennamuu danda'u.	ዝምደበሎም ሰብ ምስ ዝህሉ ትኬታት ክምደቡ ይኽእሉ።	Tikidhada waa la qoondayn karaa marka la helo qof loo qoondeeyo.	Tikiti zinaweza kukabidhiwa mara tu kunapokuwa na mtu wa kuzikabidhi.	One line saying why that step matters.
ui_step_set_hours	Set your working hours	የስራ ሰዓትዎን ያዘጋጁ	Sa'aatii hojii keessan qindeessaa	ናይ ስራሕ ሰዓትኩም ኣዳልዉ	Dhig saacadahaaga shaqada	Weka saa zako za kazi	Setup step: configure the working week and hours the SLA clock respects.
ui_step_set_hours_why	The SLA clock only runs while you are open, so the promise matches the desk.	የSLA ሰዓት የሚሄደው ክፍት ሲሆኑ ብቻ ነው፤ ስለዚህ ቃሉ ከዴስኩ ጋር ይጣጣማል።	Sa'aatiin SLA yeroo banaa taatan qofa deema, kanaafuu waadaan deeskii waliin walsimaa.	ሰዓት SLA ዝኸይድ ክፉት ከለኹም ጥራይ እዩ፡ ስለዚ እቲ መብጽዓ ምስቲ ዴስክ ይሰማማዕ።	Saacadda SLA waxay socotaa oo keliya marka aad furan tahay, sidaas ballanku wuxuu la mid yahay miiska.	Saa ya SLA hukimbia tu unapokuwa wazi, hivyo ahadi inalingana na dawati.	One line saying why. 'SLA' is a technical term the industry uses — keep it.
ui_step_write_macro	Write your first macro	የመጀመሪያ ማክሮዎን ይጻፉ	Maakroo jalqabaa keessan barreessaa	ቀዳማይ ማክሮኹም ጽሓፉ	Qor makradaada ugu horreysa	Andika makro yako ya kwanza	Setup step: write a saved reply. 'Macro' is this product's term for it.
ui_step_write_macro_why	The reply your team types most often, saved once — in every language you serve.	ቡድንዎ በጣም የሚደጋግመው ምላሽ አንድ ጊዜ ተቀምጦ — በሚያገለግሉት ቋንቋ ሁሉ።	Deebiin gareen keessan yeroo baay'ee barreessu, al tokko olkaa'ame — afaan isin tajaajiltan hundaan.	እቲ ጋንታኹም ብዙሕ ግዜ ዝጽሕፎ መልሲ ሓንሳብ ተዓቂቡ — ብዘገልግሉሉ ኵሉ ቋንቋ።	Jawaabta kooxdaadu ugu badan qorto, hal mar la kaydiyay — luqad kasta oo aad u adeegto.	Jibu ambalo timu yako huandika mara nyingi zaidi, limehifadhiwa mara moja — kwa kila lugha unayohudumia.	One line saying why. The second half is the selling point: one macro, every language.
ui_alerts	Alerts	ማንቂያዎች	Akeekkachiisota	መጠንቀቕታታት	Digniinaha	Arifa	Header button opening the alert panel: things the desk needs a person to act on.
ui_alerts_none	Nothing needs your attention.	ትኩረትዎን የሚሻ ነገር የለም።	Wanti xiyyeeffannoo keessan barbaadu hin jiru.	ኣቓልቦኹም ዘድልዮ ነገር የለን።	Wax fiiro gaar ah u baahan ma jiro.	Hakuna kinachohitaji uangalizi wako.	Empty state of the alert panel. Reassuring, not an error — nothing is wrong.
ui_alerts_mark_read	Mark all read	ሁሉንም እንደተነበበ ምልክት አድርግ	Hunda akka dubbifame mallattoo godhi	ንዅሉ ከም እተነበበ ምልክት ግበር	Calaamadee dhammaan in la akhriyay	Weka zote kuwa zimesomwa	Button clearing every alert currently listed.
ui_alert_sla_breached	Past its reply deadline	የመልስ ገደቡ አልፎበታል	Yeroon deebii isaa darbeera	ናይ መልሲ ገደቡ ሓሊፉ	Wuu dhaafay waqtiga jawaabta	Imepita muda wa kujibu	Alert reason: the ticket is past the time the workspace promised to reply by.
ui_alert_sla_at_risk	Close to its reply deadline	ወደ መልስ ገደቡ ተቃርቧል	Yeroo deebii isaatti dhiyaateera	ናብ ናይ መልሲ ገደቡ ቀሪቡ	Wuu u dhow yahay waqtiga jawaabta	Inakaribia muda wa kujibu	Alert reason: the ticket is close to that deadline but has not missed it yet — there is still time to act.
ui_alert_unassigned_waiting	Waiting with nobody assigned	ማንም ሳይመደብለት እየጠበቀ ነው	Namni itti kenname utuu hin jiraatin eegaa jira	ዋላ ሓደ ከይተመደበሉ ይጽበ ኣሎ	Wuu sugayaa iyadoo aan cidna loo qoondayn	Inasubiri bila mtu kukabidhiwa	Alert reason: nobody has taken the ticket. Not about lateness; about ownership.
ui_satisfaction	Satisfaction	እርካታ	Quufa	ዕግበት	Qanacsanaan	Kuridhika	Ticket rail label for the customer's satisfaction score.
ui_wb_csat	Satisfaction today	የዛሬ እርካታ	Quufa har'aa	ናይ ሎሚ ዕግበት	Qanacsanaanta maanta	Kuridhika leo	Wallboard stat: the average satisfaction score for tickets resolved today.
ui_csat_responses	from {n} replies	ከ{n} ምላሾች	deebii {n} irraa	ካብ {n} መልስታት	laga bilaabo {n} jawaab	kutoka majibu {n}	The denominator under the satisfaction average. {n} is a number — an average from one reply and from ninety are different facts, which is why the count is always shown.
ui_csat_none	Not rated	አልተገመገመም	Hin madaalamne	ኣይተገምገመን	Lama qiimeynin	Haijakadiriwa	Shown where a ticket has no score and none was asked for.
ui_csat_awaiting	Survey sent, no reply yet	ዳሰሳ ተልኳል፣ ገና ምላሽ የለም	Qorannoon ergameera, ammatti deebiin hin jiru	መጽናዕቲ ተላኢኹ፡ ገና መልሲ የለን	Sahan la diray, weli jawaab ma jirto	Utafiti umetumwa, bado hakuna jibu	Shown when the survey went out but the customer has not answered yet.
ui_tags	Tags	መለያዎች	Mallattoolee	መለለይታት	Astaamaha	Lebo	Ticket rail heading: what the ticket is ABOUT, as opposed to which channel it came from or which queue handles it.
ui_tag_add	Add a tag	መለያ ጨምር	Mallattoo dabali	መለለዪ ወስኽ	Ku dar astaan	Ongeza lebo	Placeholder of the box where an agent types a new or existing tag.
ui_tag_none	No tags yet	እስካሁን መለያ የለም	Amma mallattoon hin jiru	ክሳብ ሕጂ መለለዪ የለን	Weli astaan ma jirto	Bado hakuna lebo	Shown on a ticket carrying no tags.
ui_tag_remove	Remove tag	መለያ አስወግድ	Mallattoo haqi	መለለዪ ኣወግድ	Ka saar astaanta	Ondoa lebo	Accessible label of the small x that takes a tag off a ticket.
ui_tag_filtering	Showing tickets tagged {tag}	በ{tag} የተመለከቱ ቲኬቶች እየታዩ ነው	Tikeetiiwwan {tag}n mallattaa'an agarsiifamaa jiru	ብ{tag} እተመልከቱ ትኬታት ይረኣዩ ኣለዉ	Waxaa la tusayaa tikidhada lagu astaystay {tag}	Inaonyesha tikiti zenye lebo {tag}	Banner on the ticket list when it was opened by clicking a tag. {tag} is the tag name, which is user content and is never translated.
ui_tag_failed	Could not save that tag. {error}	ያንን መለያ ማስቀመጥ አልተቻለም። {error}	Mallattoo sana olkaa'uu hin dandeenye. {error}	ነቲ መለለዪ ክንዕቅቦ ኣይከኣልናን። {error}	Astaantaas lama kaydin karin. {error}	Imeshindwa kuhifadhi lebo hiyo. {error}	Error when a tag could not be saved. {error} is the reason.
ui_nav_reports	Reports	ሪፖርቶች	Gabaasota	ጸብጻባት	Warbixinno	Ripoti	Sidebar item: historical reporting, as opposed to the live wallboard.
ui_reports_title	Reports	ሪፖርቶች	Gabaasota	ጸብጻባት	Warbixinno	Ripoti	Heading of the reports page.
ui_reports_subtitle	What came in, what it was about, and how you handled it — compared with the period before.	ምን እንደገባ፣ ስለ ምን እንደነበረ እና እንዴት እንደያዙት — ካለፈው ወቅት ጋር ተነጻጽሮ።	Maaltu akka seene, waa'ee maalii akka ture fi akkamitti akka qabdan — yeroo darbee waliin wal bira qabamee.	እንታይ ከም ዝኣተወ፡ ብዛዕባ እንታይ ከም ዝነበረ፡ ከመይ ከም ዝሓዝኩምዎ — ምስቲ ዝሓለፈ እዋን ብምንጽጻር።	Waxa soo galay, waxa ku saabsanaa, iyo sidaad u maaraysay — marka la barbardhigo mudadii hore.	Kilichoingia, kilihusu nini, na mlivyoshughulikia — ikilinganishwa na kipindi kilichotangulia.	Line under it. The comparison with the previous period is the point of the page.
ui_range_7	Last 7 days	ያለፉት 7 ቀናት	Guyyoota 7 darban	ዝሓለፉ 7 መዓልታት	7-dii maalmood ee la soo dhaafay	Siku 7 zilizopita	Date-range option: the last seven days.
ui_range_30	Last 30 days	ያለፉት 30 ቀናት	Guyyoota 30 darban	ዝሓለፉ 30 መዓልታት	30-kii maalmood ee la soo dhaafay	Siku 30 zilizopita	Date-range option: the last thirty days.
ui_range_90	Last 90 days	ያለፉት 90 ቀናት	Guyyoota 90 darban	ዝሓለፉ 90 መዓልታት	90-kii maalmood ee la soo dhaafay	Siku 90 zilizopita	Date-range option: the last ninety days.
ui_rep_volume	Tickets opened	የተከፈቱ ቲኬቶች	Tikeetiiwwan banaman	እተኸፍቱ ትኬታት	Tikidhada la furay	Tikiti zilizofunguliwa	Metric: how many tickets were opened in the period.
ui_rep_first_response	Median first reply	መካከለኛ የመጀመሪያ ምላሽ	Deebii jalqabaa giddu-galeessa	ማእከላይ ቀዳማይ መልሲ	Celceliska jawaabta koowaad	Wastani wa jibu la kwanza	Metric: the MIDDLE time to first reply, not the average — one very late ticket must not move it.
ui_rep_resolution	Median time to resolve	መካከለኛ የመፍትሔ ጊዜ	Yeroo furmaataa giddu-galeessa	ማእከላይ ናይ ፍታሕ ግዜ	Celceliska waqtiga xallinta	Wastani wa muda wa kutatua	Metric: the middle time from opening to resolved.
ui_rep_on_time	First replies on time	በሰዓቱ የተሰጡ የመጀመሪያ ምላሾች	Deebiiwwan jalqabaa yeroon kennaman	ብእዋኑ እተዋህቡ ቀዳማይ መልስታት	Jawaabaha koowaad ee waqtigooda	Majibu ya kwanza kwa wakati	Metric: the share of answered tickets whose first reply beat its SLA promise.
